Covidence..,Study.ID,Title,Reviewer.Name,Does.the.study.include.a.socio.environmental.model.,Country...region.in.which.the.study.is.focused,Miscellaneous.Notes,Type.of.Model,Does.the.study.quantify.model.uncertainty.,How.does.this.model.quantify.uncertainty.,Does.the.model.uncertainty.approach.fall.into.any.of.the.following.categories.
215,Birnbaum 2022,Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean,Reviewer2,Yes, Countries in Latin America and the Caribbean,,System dynamics model; Other: dynamic-recursive partial equilibrium model ,Yes,Sensitivity analysis using factorial design,Model specification; Knowledge of the system; Computing limitations; Spatial dependence & heterogeneity issues
215,Birnbaum 2022,Drivers of Future Physical Water Scarcity and Its Economic Impacts in Latin America and the Caribbean,Consensus,Yes,Latin America and the Caribbean (LAC),,"Other: dynamic-recursive partial equilibrium model (GCAM, a type of IAM)",Yes,Sensitivity analysis using factorial design,Model specification; Knowledge of the system; Computing limitations; Spatial dependence & heterogeneity issues
214,Keyel 2021,A proposed framework for the development and qualitative evaluation of West Nile virus models and their application to local public health decision-making,Reviewer1,Yes,United States,The paper developed a framework for applying models to decisions and tested it on 13 representative models that have been developed to understand. ,"Other: Historical Null, Spatial Risk Random Forest, Temperature-trait-based Relative R_0 Model, Spatial Risk High Resolution BRT model, RF1, NE_WNV Country-years, GLMER Ensembel. Harris Country, ArboMAP, Chicago Ultra-Fine Scale, Model-EAKF System, Temperature-forced Model-EAKF System, California Risk Assessment. ",Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues
214,Keyel 2021,A proposed framework for the development and qualitative evaluation of West Nile virus models and their application to local public health decision-making,Reviewer2,No,,"This is a review paper, does not include a model of their own. ",,,,
214,Keyel 2021,A proposed framework for the development and qualitative evaluation of West Nile virus models and their application to local public health decision-making,Consensus,No,USA,Review paper,,No,,
213,Hamstead 2018,Geolocated social media as a rapid indicator of park visitation and equitable park access,Reviewer1,No,,,,,,
213,Hamstead 2018,Geolocated social media as a rapid indicator of park visitation and equitable park access,Reviewer2,Yes,New York/ United States,,Conceptual model (non-quantitative),No,,
213,Hamstead 2018,Geolocated social media as a rapid indicator of park visitation and equitable park access,Consensus,Yes,New York/ United States,,Other: Regression model,Yes,Validation / cross-validation (using empirical data),
212,Kim 2014,"Assessment of future water resources and water scarcity considering the factors of climate change and social-environmental change in Han River basin, Korea",Reviewer1,Yes,"Han River Basin, Korea",,"Other: Multi-Regression, SLURP model, RegCM3 model. ",Yes, Sensitivity analysis,Model specification
212,Kim 2014,"Assessment of future water resources and water scarcity considering the factors of climate change and social-environmental change in Han River basin, Korea",Reviewer2,,Korea,,,No,,
212,Kim 2014,"Assessment of future water resources and water scarcity considering the factors of climate change and social-environmental change in Han River basin, Korea",Consensus,Yes,Korea,,"Other: Multi-Regression, SLURP model, RegCM3 model. ",Yes, Sensitivity analysis,Model specification
211,Gou 2016,The Role of Maps in Capturing Distal Drivers of Deforestation and Degradation: A Case Study in Central Mozambique,Reviewer1,Yes,Mozambique,,Biophysical model,No,,
211,Gou 2016,The Role of Maps in Capturing Distal Drivers of Deforestation and Degradation: A Case Study in Central Mozambique,Reviewer2,Yes,Mozambique,,Biophysical model,No,,
211,Gou 2016,The Role of Maps in Capturing Distal Drivers of Deforestation and Degradation: A Case Study in Central Mozambique,Consensus,Yes,Mozambique,,Biophysical model,No,,
210,Runfola 2013,"A growing concern? Examining the influence of lawn size on residential water use in suburban Boston, MA, USA",Reviewer1,Yes,USA,"really three models - regression, GEOMOD application to project urban growth, then application of the regression covariates. I'm only focusing on the final one as it's what the study builds to. ","Other: GEOMOD seems most similar to a cellular automata model, and they use ordinary kriging to project water use",No,,
210,Runfola 2013,"A growing concern? Examining the influence of lawn size on residential water use in suburban Boston, MA, USA",Reviewer2,Yes,"Boston, USA",,System dynamics model,No,Other: Does not quantify model uncertainty,Other: Does not quantify model uncertainty
