Covidence..,Study.ID,Title,Reviewer.Name,Does.the.study.include.a.socio.environmental.model.,Country...region.in.which.the.study.is.focused,Miscellaneous.Notes,Type.of.Model,Does.the.study.quantify.model.uncertainty.,How.does.this.model.quantify.uncertainty.,Does.the.model.uncertainty.approach.fall.into.any.of.the.following.categories.
14,Wang 2019,Identification and evaluation of land use vulnerability in a coal mining area under the coupled human-environment,Reviewer1,Yes,China,,"Conceptual model (non-quantitative); Other: The study utilized a combination of models: SVM, Vulnerability Assessment Framework and Analytic Hierarchy Process (AHP)",No,,
14,Wang 2019,Identification and evaluation of land use vulnerability in a coal mining area under the coupled human-environment,Reviewer2,Yes,China,,Other: Vulnerability evaluation model and vulnerability index calculation model,Yes, Sensitivity analysis,Spatial and temporal scale issues
14,Wang 2019,Identification and evaluation of land use vulnerability in a coal mining area under the coupled human-environment,Consensus,Yes,China,,"Conceptual model (non-quantitative); Other: The study utilized a combination of models: SVM, Vulnerability Assessment Framework and Analytic Hierarchy Process (AHP)",No,,
13,Pal 2023,Dynamics of a coupled socio-environmental model: An application to global CO<sub>2</sub> emissions,Reviewer1,Yes,forest cover and CO2 concentration of the world,,Other: Coupled socio-environmental model ,, Sensitivity analysis,Model specification
13,Pal 2023,Dynamics of a coupled socio-environmental model: An application to global CO<sub>2</sub> emissions,Reviewer2,Yes,Global,,System dynamics model,No,,
13,Pal 2023,Dynamics of a coupled socio-environmental model: An application to global CO<sub>2</sub> emissions,Consensus,Yes,Global,,System dynamics model; Other: Coupled socio-environmental model ,Yes, Sensitivity analysis,Model specification
12,An 2005,Exploring complexity in a human-environment system: An agent-based spatial model for multidisciplinary and multiscale integration,Reviewer1,Yes,China,,Agent-based model,,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues
12,An 2005,Exploring complexity in a human-environment system: An agent-based spatial model for multidisciplinary and multiscale integration,Reviewer2,Yes,China,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
12,An 2005,Exploring complexity in a human-environment system: An agent-based spatial model for multidisciplinary and multiscale integration,Consensus,Yes,China,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
11,Pearsall 2009,Linking the stressors and stressing the linkages: Human-environment vulnerability and brownfield redevelopment in New York City,Reviewer1,Yes,USA,,Other: Vulnerability Scoping Diagram,No,,
11,Pearsall 2009,Linking the stressors and stressing the linkages: Human-environment vulnerability and brownfield redevelopment in New York City,Reviewer2,No,,,,No,,
11,Pearsall 2009,Linking the stressors and stressing the linkages: Human-environment vulnerability and brownfield redevelopment in New York City,Consensus,Yes,USA,,Other: Vulnerability Scoping Diagram,No,,
10,Schimel 2015,"Analysis, Integration and Modeling of the Earth System (AIMES): Advancing the post-disciplinary understanding of coupled human-environment dynamics in the Anthropocene",Reviewer1,Yes,Earth,This is a more general overview paper,Biophysical model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
10,Schimel 2015,"Analysis, Integration and Modeling of the Earth System (AIMES): Advancing the post-disciplinary understanding of coupled human-environment dynamics in the Anthropocene",Reviewer2,No,,,,,,
10,Schimel 2015,"Analysis, Integration and Modeling of the Earth System (AIMES): Advancing the post-disciplinary understanding of coupled human-environment dynamics in the Anthropocene",Consensus,No,,This is a more general overview paper,,Other: ,,
9,Roman 2018,The Dynamics of Human–Environment Interactions in the Collapse of the Classic Maya,Reviewer1,Yes,Southern Lowlands,,System dynamics model,Yes, Sensitivity analysis,Empirical data limitations
9,Roman 2018,The Dynamics of Human–Environment Interactions in the Collapse of the Classic Maya,Reviewer2,Yes,South America,,System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
9,Roman 2018,The Dynamics of Human–Environment Interactions in the Collapse of the Classic Maya,Consensus,Yes,South America,,System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
7,Convertino 2016,From city- to health-scapes: Multiscale design for population health,Reviewer1,Yes,USA,,System dynamics model,No,,
7,Convertino 2016,From city- to health-scapes: Multiscale design for population health,Consensus,Other: yes,USA,,System dynamics model,No,,
5,Le 2010,Land Use Dynamic Simulator (LUDAS): A multi-agent system model for simulating spatio-temporal dynamics of coupled human-landscape system. 2. Scenario-based application for impact assessment of land-use policies,Reviewer1,Yes,Vietnam,,Agent-based model,,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system
5,Le 2010,Land Use Dynamic Simulator (LUDAS): A multi-agent system model for simulating spatio-temporal dynamics of coupled human-landscape system. 2. Scenario-based application for impact assessment of land-use policies,Reviewer2,Yes,Vietnam,,Agent-based model,Yes," Sensitivity analysis; Other: ""To quantify the uncertainty in the model outputs induced by the
uncertainties in its inputs, the method of independent replications""",
5,Le 2010,Land Use Dynamic Simulator (LUDAS): A multi-agent system model for simulating spatio-temporal dynamics of coupled human-landscape system. 2. Scenario-based application for impact assessment of land-use policies,Consensus,Yes,Vietnam,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis; Other,Knowledge of the system
4,Martínez-Fernández 2013,Sustainability of Mediterranean irrigated agro-landscapes,Reviewer1,Yes,Huerta Murcia (Spain),,System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification
4,Martínez-Fernández 2013,Sustainability of Mediterranean irrigated agro-landscapes,Reviewer2,Yes,Spain,,System dynamics model,Yes, Sensitivity analysis,
4,Martínez-Fernández 2013,Sustainability of Mediterranean irrigated agro-landscapes,Consensus,Yes,Spain,,System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification
